"","minimum","objective"
"depth3rate0.8",15440.3413736872,0.013318536009169
"depth3rate0.9",9549.76831524138,0.0128808551654252
"depth3rate1",15447.8500716723,0.0134013573107978
"depth4rate0.8",14729.3328369966,0.0126082781719491
"depth4rate0.9",10000.5951116163,0.0127551508220634
"depth4rate1",10019.4947347438,0.0124313869415692
"depth5rate0.8",9535.19236207297,0.0126702035350829
"depth5rate0.9",19959.5485323448,0.0120695523349829
"depth5rate1",15451.2224736242,0.0128376854504595
"depth6rate0.8",9878.6455970345,0.01249252258162
"depth6rate0.9",15451.2316847586,0.0126572112258913
"depth6rate1",8738.93273086355,0.012887076382986
"depth8rate0.8",15449.2860134783,0.0123865925746564
"depth8rate0.9",19441.4150313123,0.0128023071722103
"depth8rate1",14945.0983268596,0.0128890586663694
