optimal_ntrees,AAC,depth,col_rate,label
14638.2023316553,0.0724844581800155,6,0.8,bc_30d
10182.3274978283,0.072553055529211,6,0.9,bc_30d
14597.2203424148,0.0733917841864218,6,1,bc_30d
12343.9841620908,0.0728101896090547,8,0.8,bc_30d
12035.2266090332,0.0725624589912156,8,0.9,bc_30d
9328.18327420655,0.0730870261768601,8,1,bc_30d
5903.04580287243,0.0705211573272432,10,0.8,bc_30d
9159.69902374224,0.0708271979763131,10,0.9,bc_30d
9550.57989928046,0.0700099693052933,10,1,bc_30d
5904.52088566878,0.0852176362025999,6,0.8,bc_3090d
13809.0322372377,0.085603909543215,6,0.9,bc_3090d
15453.8232661475,0.0855547548326292,6,1,bc_3090d
16844.3782066897,0.0849278773538782,8,0.8,bc_3090d
9549.76519802244,0.0847095034909353,8,0.9,bc_3090d
15451.2316847586,0.0850618586450503,8,1,bc_3090d
5788.3944893794,0.0814675126387454,10,0.8,bc_3090d
3644.46434234805,0.0814562279383533,10,0.9,bc_3090d
5902.46336951724,0.0811612387377341,10,1,bc_3090d
17707.9306956409,0.0676864985930438,6,0.8,bc_90280d
15654.0661822662,0.0681364185489506,6,0.9,bc_90280d
15451.2285127781,0.0676998410990467,6,1,bc_90280d
3273.44902631538,0.0662434490303422,8,0.8,bc_90280d
8153.02457542966,0.06675065940101,8,0.9,bc_90280d
9557.79004015591,0.0665972880686999,8,1,bc_90280d
9549.76831524138,0.0617633763758698,10,0.8,bc_90280d
3648.29131337266,0.0625551171008514,10,0.9,bc_90280d
9549.98006490959,0.0625576381513619,10,1,bc_90280d
5902.44874819645,0.0334205639277059,6,0.8,no2_30d
4478.69261067605,0.0338644266056547,6,0.9,no2_30d
15501.5638594504,0.0333359012107618,6,1,no2_30d
6920.23810404667,0.0327243633538793,8,0.8,no2_30d
5906.32121372304,0.0329907151477447,8,0.9,no2_30d
19096.8840225559,0.0329031738699176,8,1,no2_30d
21352.6950542759,0.0339960643330991,10,0.8,no2_30d
11830.8155125553,0.0339848764467243,10,0.9,no2_30d
15780.1089665517,0.0337811222651885,10,1,no2_30d
15451.2316847586,0.0454360178439368,6,0.8,no2_3090d
9897.94872127525,0.0454399334955788,6,0.9,no2_3090d
12664.9386408966,0.0448949669985534,6,1,no2_3090d
19098.5380687202,0.0452429320133295,8,0.8,no2_3090d
4509.31684758621,0.0458139307443159,8,0.9,no2_3090d
19098.5366304828,0.0453967679558447,8,1,no2_3090d
9550.87709192734,0.0451719458920436,10,0.8,no2_3090d
9019.59347574475,0.045137811914193,10,0.9,no2_3090d
9549.76831524138,0.0444273489258566,10,1,no2_3090d
10463.0088025031,0.0402869253191902,6,0.8,no2_90280d
9586.87075171788,0.0410168200594901,6,0.9,no2_90280d
15540.1962227579,0.0407927687499126,6,1,no2_90280d
10085.366415136,0.0417845844844277,8,0.8,no2_90280d
10191.4303881768,0.0418424026912894,8,0.9,no2_90280d
15451.2316847586,0.0419851743814872,8,1,no2_90280d
9530.73573619024,0.0438791417744135,10,0.8,no2_90280d
11142.6946632297,0.0439334518033592,10,0.9,no2_90280d
15451.1744798608,0.0450860714585121,10,1,no2_90280d
